trial,solver,ack_time_ms,ack_anomaly,gas_fulfill
81,0x976EA74026E726554dB657fA54763abd0C3a0aa9,201,0,70576
82,0x976EA74026E726554dB657fA54763abd0C3a0aa9,339,0,70576
83,0x976EA74026E726554dB657fA54763abd0C3a0aa9,230,0,70576
84,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,208,0,70576
85,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,400,0,70576
86,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,261,0,70564
87,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,387,0,70576
88,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,593,0,70576
89,0x976EA74026E726554dB657fA54763abd0C3a0aa9,592,0,70552
90,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,149,0,70576
91,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,176,0,70576
92,0x976EA74026E726554dB657fA54763abd0C3a0aa9,221,0,70576
93,0x90F79bf6EB2c4f870365E785982E1f101E93b906,576,0,70576
94,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,404,0,70552
95,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,548,0,70564
96,0x90F79bf6EB2c4f870365E785982E1f101E93b906,176,0,70576
97,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,435,0,70564
98,0x976EA74026E726554dB657fA54763abd0C3a0aa9,5406,1,70576
99,0x90F79bf6EB2c4f870365E785982E1f101E93b906,386,0,70552
100,0x90F79bf6EB2c4f870365E785982E1f101E93b906,582,0,70576
